

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(309) TOF(2.31847 usec) Mass(16 amu) Charge(-1 e) 

Ion(310) TOF(2.397 usec) Mass(16 amu) Charge(-1 e) 

Ion(311) TOF(2.38917 usec) Mass(16 amu) Charge(-1 e) 

Ion(312) TOF(2.57959 usec) Mass(16 amu) Charge(-1 e) 

Ion(313) TOF(2.43207 usec) Mass(16 amu) Charge(-1 e) 

Ion(314) TOF(2.39355 usec) Mass(16 amu) Charge(-1 e) 

Ion(315) TOF(2.45469 usec) Mass(16 amu) Charge(-1 e) 

Ion(316) TOF(2.22492 usec) Mass(16 amu) Charge(-1 e) 

Ion(317) TOF(2.45657 usec) Mass(16 amu) Charge(-1 e) 

Ion(318) TOF(2.34924 usec) Mass(16 amu) Charge(-1 e) 

Ion(319) TOF(2.32905 usec) Mass(16 amu) Charge(-1 e) 

Ion(320) TOF(2.27197 usec) Mass(16 amu) Charge(-1 e) 

Ion(321) TOF(2.51785 usec) Mass(16 amu) Charge(-1 e) 

Ion(322) TOF(2.50728 usec) Mass(16 amu) Charge(-1 e) 

Ion(323) TOF(2.46799 usec) Mass(16 amu) Charge(-1 e) 

Ion(324) TOF(2.55728 usec) Mass(16 amu) Charge(-1 e) 

Ion(325) TOF(2.23795 usec) Mass(16 amu) Charge(-1 e) 

Ion(326) TOF(2.32516 usec) Mass(16 amu) Charge(-1 e) 

Ion(327) TOF(2.32394 usec) Mass(16 amu) Charge(-1 e) 

Ion(328) TOF(2.46937 usec) Mass(16 amu) Charge(-1 e) 

Ion(329) TOF(2.6181 usec) Mass(16 amu) Charge(-1 e) 

Ion(330) TOF(2.16254 usec) Mass(16 amu) Charge(-1 e) 

Ion(331) TOF(2.49337 usec) Mass(16 amu) Charge(-1 e) 

Ion(332) TOF(2.51239 usec) Mass(16 amu) Charge(-1 e) 

Ion(333) TOF(2.41813 usec) Mass(16 amu) Charge(-1 e) 

Ion(334) TOF(2.35634 usec) Mass(16 amu) Charge(-1 e) 

Ion(335) TOF(2.27074 usec) Mass(16 amu) Charge(-1 e) 

Ion(336) TOF(2.38003 usec) Mass(16 amu) Charge(-1 e) 

Ion(337) TOF(2.41819 usec) Mass(16 amu) Charge(-1 e) 

Ion(338) TOF(2.35634 usec) Mass(16 amu) Charge(-1 e) 

Ion(339) TOF(2.6358 usec) Mass(16 amu) Charge(-1 e) 

Ion(340) TOF(2.56504 usec) Mass(16 amu) Charge(-1 e) 

Ion(341) TOF(2.46677 usec) Mass(16 amu) Charge(-1 e) 

Ion(342) TOF(2.20757 usec) Mass(16 amu) Charge(-1 e) 

Ion(343) TOF(2.19538 usec) Mass(16 amu) Charge(-1 e) 

Ion(344) TOF(2.2851 usec) Mass(16 amu) Charge(-1 e) 

Ion(345) TOF(2.39839 usec) Mass(16 amu) Charge(-1 e) 

Ion(346) TOF(2.71135 usec) Mass(16 amu) Charge(-1 e) 

Ion(347) TOF(2.37734 usec) Mass(16 amu) Charge(-1 e) 

Ion(348) TOF(2.39217 usec) Mass(16 amu) Charge(-1 e) 

Ion(349) TOF(2.2866 usec) Mass(16 amu) Charge(-1 e) 

Ion(350) TOF(2.55626 usec) Mass(16 amu) Charge(-1 e) 

