

 Begin Fly'm 
 Ions Flown Separately, Comp Quality(3) 
 Number of Ions to Fly = 0 


------ Begin Next Fly'm ------

Ion(211) TOF(0.772034 usec) Mass(1 amu) Charge(-1 e) 

Ion(212) TOF(1.04832 usec) Mass(2 amu) Charge(-1 e) 

Ion(213) TOF(1.46765 usec) Mass(3 amu) Charge(-1 e) 

Ion(214) TOF(1.59303 usec) Mass(4 amu) Charge(-1 e) 

Ion(215) TOF(1.59724 usec) Mass(5 amu) Charge(-1 e) 

Ion(216) TOF(0.873014 usec) Mass(1 amu) Charge(-1 e) 

Ion(217) TOF(1.07785 usec) Mass(2 amu) Charge(-1 e) 

Ion(218) TOF(1.38621 usec) Mass(3 amu) Charge(-1 e) 

Ion(219) TOF(1.36795 usec) Mass(4 amu) Charge(-1 e) 

Ion(220) TOF(1.64197 usec) Mass(5 amu) Charge(-1 e) 

Ion(221) TOF(0.747151 usec) Mass(1 amu) Charge(-1 e) 

Ion(222) TOF(1.12665 usec) Mass(2 amu) Charge(-1 e) 

Ion(223) TOF(1.16688 usec) Mass(3 amu) Charge(-1 e) 

Ion(224) TOF(1.50325 usec) Mass(4 amu) Charge(-1 e) 

Ion(225) TOF(1.65241 usec) Mass(5 amu) Charge(-1 e) 

Ion(226) TOF(0.778591 usec) Mass(1 amu) Charge(-1 e) 

Ion(227) TOF(0.983706 usec) Mass(2 amu) Charge(-1 e) 

Ion(228) TOF(1.27315 usec) Mass(3 amu) Charge(-1 e) 

Ion(229) TOF(1.30282 usec) Mass(4 amu) Charge(-1 e) 

Ion(230) TOF(1.63662 usec) Mass(5 amu) Charge(-1 e) 

Ion(231) TOF(0.758498 usec) Mass(1 amu) Charge(-1 e) 

Ion(232) TOF(1.06024 usec) Mass(2 amu) Charge(-1 e) 

Ion(233) TOF(1.32205 usec) Mass(3 amu) Charge(-1 e) 

Ion(234) TOF(1.40632 usec) Mass(4 amu) Charge(-1 e) 

Ion(235) TOF(1.79308 usec) Mass(5 amu) Charge(-1 e) 

Ion(236) TOF(0.750497 usec) Mass(1 amu) Charge(-1 e) 

Ion(237) TOF(0.961655 usec) Mass(2 amu) Charge(-1 e) 

Ion(238) TOF(1.14642 usec) Mass(3 amu) Charge(-1 e) 

Ion(239) TOF(1.56324 usec) Mass(4 amu) Charge(-1 e) 

Ion(240) TOF(1.73824 usec) Mass(5 amu) Charge(-1 e) 

Ion(241) TOF(0.749281 usec) Mass(1 amu) Charge(-1 e) 

Ion(242) TOF(1.07983 usec) Mass(2 amu) Charge(-1 e) 

Ion(243) TOF(1.23143 usec) Mass(3 amu) Charge(-1 e) 

Ion(244) TOF(1.61808 usec) Mass(4 amu) Charge(-1 e) 

Ion(245) TOF(1.83251 usec) Mass(5 amu) Charge(-1 e) 

Ion(246) TOF(0.76576 usec) Mass(1 amu) Charge(-1 e) 

Ion(247) TOF(1.15679 usec) Mass(2 amu) Charge(-1 e) 

Ion(248) TOF(1.31593 usec) Mass(3 amu) Charge(-1 e) 

Ion(249) TOF(1.34943 usec) Mass(4 amu) Charge(-1 e) 

Ion(250) TOF(1.80302 usec) Mass(5 amu) Charge(-1 e) 

Ion(251) TOF(0.770827 usec) Mass(1 amu) Charge(-1 e) 

Ion(252) TOF(1.14827 usec) Mass(2 amu) Charge(-1 e) 

Ion(253) TOF(1.37293 usec) Mass(3 amu) Charge(-1 e) 

Ion(254) TOF(1.49997 usec) Mass(4 amu) Charge(-1 e) 

Ion(255) TOF(1.64037 usec) Mass(5 amu) Charge(-1 e) 

Ion(256) TOF(0.74713 usec) Mass(1 amu) Charge(-1 e) 

Ion(257) TOF(1.01557 usec) Mass(2 amu) Charge(-1 e) 

Ion(258) TOF(1.49502 usec) Mass(3 amu) Charge(-1 e) 

Ion(259) TOF(1.54321 usec) Mass(4 amu) Charge(-1 e) 

Ion(260) TOF(1.68955 usec) Mass(5 amu) Charge(-1 e) 

Ion(261) TOF(0.917604 usec) Mass(1 amu) Charge(-1 e) 

Ion(262) TOF(1.01259 usec) Mass(2 amu) Charge(-1 e) 

Ion(263) TOF(1.31449 usec) Mass(3 amu) Charge(-1 e) 

Ion(264) TOF(1.46092 usec) Mass(4 amu) Charge(-1 e) 

Ion(265) TOF(1.75052 usec) Mass(5 amu) Charge(-1 e) 

Ion(266) TOF(0.888077 usec) Mass(1 amu) Charge(-1 e) 

Ion(267) TOF(0.995718 usec) Mass(2 amu) Charge(-1 e) 

Ion(268) TOF(1.3105 usec) Mass(3 amu) Charge(-1 e) 

Ion(269) TOF(1.46625 usec) Mass(4 amu) Charge(-1 e) 

Ion(270) TOF(1.73562 usec) Mass(5 amu) Charge(-1 e) 

Ion(271) TOF(0.747833 usec) Mass(1 amu) Charge(-1 e) 

Ion(272) TOF(1.10485 usec) Mass(2 amu) Charge(-1 e) 

Ion(273) TOF(1.14482 usec) Mass(3 amu) Charge(-1 e) 

Ion(274) TOF(1.41902 usec) Mass(4 amu) Charge(-1 e) 

Ion(275) TOF(1.44377 usec) Mass(5 amu) Charge(-1 e) 

Ion(276) TOF(0.725127 usec) Mass(1 amu) Charge(-1 e) 

Ion(277) TOF(0.997471 usec) Mass(2 amu) Charge(-1 e) 

Ion(278) TOF(1.26963 usec) Mass(3 amu) Charge(-1 e) 

Ion(279) TOF(1.62201 usec) Mass(4 amu) Charge(-1 e) 

Ion(280) TOF(1.68608 usec) Mass(5 amu) Charge(-1 e) 

Ion(281) TOF(0.868709 usec) Mass(1 amu) Charge(-1 e) 

Ion(282) TOF(1.18332 usec) Mass(2 amu) Charge(-1 e) 

Ion(283) TOF(1.31096 usec) Mass(3 amu) Charge(-1 e) 

Ion(284) TOF(1.2961 usec) Mass(4 amu) Charge(-1 e) 

Ion(285) TOF(1.84973 usec) Mass(5 amu) Charge(-1 e) 

Ion(286) TOF(0.696093 usec) Mass(1 amu) Charge(-1 e) 

Ion(287) TOF(1.17858 usec) Mass(2 amu) Charge(-1 e) 

Ion(288) TOF(1.31306 usec) Mass(3 amu) Charge(-1 e) 

Ion(289) TOF(1.59685 usec) Mass(4 amu) Charge(-1 e) 

Ion(290) TOF(1.60056 usec) Mass(5 amu) Charge(-1 e) 

Ion(291) TOF(0.687232 usec) Mass(1 amu) Charge(-1 e) 

Ion(292) TOF(1.2156 usec) Mass(2 amu) Charge(-1 e) 

Ion(293) TOF(1.45879 usec) Mass(3 amu) Charge(-1 e) 

Ion(294) TOF(1.35556 usec) Mass(4 amu) Charge(-1 e) 

